,article_name,monthly_viewcount,day,year,month,peak_date
0,UEFA_Euro_2016,4778955,22,2016,6,2016-06-22
1,Muhammad_Ali,3227930,4,2016,6,2016-06-04
2,Game_of_Thrones_(season_6),2128577,27,2016,6,2016-06-27
3,Deaths_in_2016,1919334,20,2016,6,2016-06-20
4,Copa_América_Centenario,1718182,13,2016,6,2016-06-13
5,Game_of_Thrones,1619228,27,2016,6,2016-06-27
6,Christina_Grimmie,1353079,11,2016,6,2016-06-11
7,European_Union,1292592,24,2016,6,2016-06-24
8,List_of_Game_of_Thrones_episodes,1197378,27,2016,6,2016-06-27
9,The_Conjuring_2,1112128,13,2016,6,2016-06-13
10,Warcraft_(film),1101358,10,2016,6,2016-06-10
11,Donald_Trump,1027156,14,2016,6,2016-06-14
12,Atmospheric_pressure,1021615,14,2016,6,2016-06-14
13,Earth,943384,22,2016,6,2016-06-22
14,2016_Orlando_nightclub_shooting,916255,13,2016,6,2016-06-13
15,"United_Kingdom_European_Union_membership_referendum,_2016",871010,24,2016,6,2016-06-24
16,LeBron_James,846214,20,2016,6,2016-06-20
17,Independence_Day:_Resurgence,833060,24,2016,6,2016-06-24
18,Finding_Dory,832838,20,2016,6,2016-06-20
19,United_Kingdom,832830,24,2016,6,2016-06-24
20,Anton_Yelchin,831380,20,2016,6,2016-06-20
21,United_Kingdom_withdrawal_from_the_European_Union,808113,24,2016,6,2016-06-24
22,Karl_Landsteiner,796527,14,2016,6,2016-06-14
23,Jo_Cox,787277,16,2016,6,2016-06-16
24,2016_in_film,762865,3,2016,6,2016-06-03
25,List_of_Bollywood_films_of_2016,742622,26,2016,6,2016-06-26
26,Orange_Is_the_New_Black,716895,18,2016,6,2016-06-18
27,Barack_obama,693923,12,2016,6,2016-06-12
28,Kimbo_Slice,692807,7,2016,6,2016-06-07
29,Porcupine_Tree,677649,20,2016,6,2016-06-20
30,Copa_América,665693,27,2016,6,2016-06-27
31,Boris_Johnson,643631,24,2016,6,2016-06-24
32,United_States,629216,14,2016,6,2016-06-14
33,Stephen_Curry,588714,5,2016,6,2016-06-05
34,Money_in_the_Bank_(2016),580644,20,2016,6,2016-06-20
35,Red_Hot_Chili_Peppers,580558,15,2016,6,2016-06-15
36,Lionel_Messi,575185,27,2016,6,2016-06-27
37,HTTPS,567498,15,2016,6,2016-06-15
38,Iceland,561689,28,2016,6,2016-06-28
39,Hamilton_(musical),557651,13,2016,6,2016-06-13
40,"United_States_presidential_election,_2016",519891,26,2016,6,2016-06-26
41,Captain_America:_Civil_War,517975,1,2016,6,2016-06-01
42,Opinion_polling_for_the_United_Kingdom_European_Union_membership_referendum,513159,22,2016,6,2016-06-22
43,Ed_and_Lorraine_Warren,509644,13,2016,6,2016-06-13
44,2016_Summer_Olympics,508432,27,2016,6,2016-06-27
45,Hillary_Clinton,506192,8,2016,6,2016-06-08
46,Brake_fluid,505662,9,2016,6,2016-06-09
47,Lotte_Reiniger,500783,2,2016,6,2016-06-02
48,Template:Syrian_Civil_War_detailed_map,500335,9,2016,6,2016-06-09
49,Facebook,499740,29,2016,6,2016-06-29
50,Now_You_See_Me_2,499106,10,2016,6,2016-06-10
51,Phoebe_Snetsinger,493801,9,2016,6,2016-06-09
52,Dihydrogen_monoxide_hoax,486714,22,2016,6,2016-06-22
53,Preacher_(TV_series),466550,6,2016,6,2016-06-06
54,Tom_Hiddleston,466286,16,2016,6,2016-06-16
55,Cristiano_Ronaldo,462129,22,2016,6,2016-06-22
56,Wikipedia,458713,16,2016,6,2016-06-16
57,Nigel_Farage,458343,24,2016,6,2016-06-24
58,UEFA_European_Championship,457851,10,2016,6,2016-06-10
59,David_Cameron,455808,24,2016,6,2016-06-24
60,Graphene,453335,15,2016,6,2016-06-15
61,The_Conjuring,450653,13,2016,6,2016-06-13
62,Zootopia,443917,8,2016,6,2016-06-08
63,Udta_Punjab,432511,17,2016,6,2016-06-17
64,Google,426640,27,2016,6,2016-06-27
65,The_Winds_of_Winter_(Game_of_Thrones),426016,27,2016,6,2016-06-27
66,Charlie_Chaplin,425965,4,2016,6,2016-06-04
67,"Democratic_Party_presidential_primaries,_2016",422496,8,2016,6,2016-06-08
68,Islamic_State_of_Iraq_and_the_Levant,421335,13,2016,6,2016-06-13
69,UEFA_Euro_2012,420272,10,2016,6,2016-06-10
70,Wiki,417748,1,2016,6,2016-06-01
71,Bailee_Madison,417362,3,2016,6,2016-06-03
72,Emilia_Clarke,413414,27,2016,6,2016-06-27
73,Hello_World,413283,15,2016,6,2016-06-15
74,International_security,411825,20,2016,6,2016-06-20
75,Zlatan_Ibrahimović,411744,13,2016,6,2016-06-13
76,UFC_200,406886,5,2016,6,2016-06-05
77,O._J._Simpson,406748,16,2016,6,2016-06-16
78,A_Song_of_Ice_and_Fire,405473,27,2016,6,2016-06-27
79,Elizabeth_II,392929,10,2016,6,2016-06-10
80,Iceland_national_football_team,389232,28,2016,6,2016-06-28
81,List_of_Orange_Is_the_New_Black_episodes,388885,18,2016,6,2016-06-18
82,Alexander_Hamilton,383304,13,2016,6,2016-06-13
83,Batman_v_Superman:_Dawn_of_Justice,379849,29,2016,6,2016-06-29
84,List_of_Person_of_Interest_episodes,378843,1,2016,6,2016-06-01
85,India,377874,10,2016,6,2016-06-10
86,YouTube,376837,13,2016,6,2016-06-13
87,UEFA_Euro_2016_squads,375156,1,2016,6,2016-06-01
88,UFC_199,372391,5,2016,6,2016-06-05
89,Barack_Obama,369825,10,2016,6,2016-06-10
90,Ramadan,366681,6,2016,6,2016-06-06
91,Suicide_Squad_(film),365709,29,2016,6,2016-06-29
92,Howard_Stern,365379,2,2016,6,2016-06-02
93,2012_Benghazi_attack,363336,23,2016,6,2016-06-23
94,World_War_II,359108,6,2016,6,2016-06-06
95,Novak_Djokovic,355146,5,2016,6,2016-06-05
96,Characters_of_Warcraft,352126,11,2016,6,2016-06-11
97,Father's_Day,348957,19,2016,6,2016-06-19
98,Deadpool_(film),346541,6,2016,6,2016-06-06
99,Enfield_Poltergeist,345067,13,2016,6,2016-06-13
100,UEFA_Euro_2016_qualifying,339955,10,2016,6,2016-06-10
101,List_of_NBA_champions,339154,20,2016,6,2016-06-20
102,George_R._R._Martin,337152,3,2016,6,2016-06-03
